Name,Title,Total students,Reviews,Udemy link,Social links
Li Long,Native Chinese Teacher,"46,725",274,https://www.udemy.com/user/li-long-4/,[]
Garnett Cross,"Industry Leader in Exclusive Hydraulic Training, since 1974","3,572",925,https://www.udemy.com/user/garnett-cross-22/,['http://garnettcross.com']
ecobiru .com,Practitioner and Trainer for Building Engineers,"9,501","2,152",https://www.udemy.com/user/mike-academy/,['http://www.ecobiru.com']
Kody Amour,I Teach Thousands of Students In 8 Courses,"61,729","2,503",https://www.udemy.com/user/kodyamour/,[]
Mohamed Elatoubi,Arizona State University Graduate | Online Instructor,"2,482",333,https://www.udemy.com/user/mohamed-elatoubi/,"['https://teach.italki.com/teacher/3550903', 'https://www.facebook.com/simax.elatoubi', 'https://linkedin.com/in/mohamed-elatoubi-28177a163/']"
Magine Solutions Team,This is Our World!,"42,576","11,489",https://www.udemy.com/user/magine-solutions-team/,[]
Parteek Bhatia,"Professor, CSED, TIET, Patiala, India","38,419","1,923",https://www.udemy.com/user/parteek-kumar-4/,"['http://www.parteekbhatia.com/', 'https://www.facebook.com/profile.php?id=1812300383', 'https://www.youtube.com/user/parteekbhatia']"
Tom Cassidy,"Comprehensivist, Education Reformer, Systems Designer.","139,862","2,064",https://www.udemy.com/user/tomcassidy/,"['https://linkedin.com/in/tomcassidy001/', 'https://www.youtube.com/watch?v=nQfNhJyPZgE&list=PLg_PzRwnqqrdqk6mw1t5oaKbUo1FmBg9p']"
Kellen James,Language Teacher,"1,246",272,https://www.udemy.com/user/k-r-75/,"['https://krukellen.com', 'https://www.facebook.com/krukellen']"
Andrew Dempsey,"Instructor of English and Arabic, software developer","1,013",291,https://www.udemy.com/user/andrew-dempsey/,"['https://thearabiclearner.com', 'https://twitter.com/andrewdempsey', 'https://www.facebook.com/thearabiclearner']"
Kishore Kashyap,Faculty for Electrical Engineering,"6,904",278,https://www.udemy.com/user/kishore-kashyap/,"['http://www.logicgate.co.in', 'https://twitter.com/kishorelgs', 'https://www.facebook.com/kishore.kashyap.376', 'https://linkedin.com/in/kishore-kashyap-a4396645', 'https://www.youtube.com/user/kishorekashyap']"
Ezenith Education,Technical Education service provider,"3,840",967,https://www.udemy.com/user/ezenith-education/,"['http://www.ezenith.in/', 'https://www.facebook.com/EzenithEducation/', 'https://linkedin.com/3878469', 'https://www.youtube.com/UCyfGGMz1gDDvaCBKFcN3I2w']"
Yoav Danenberg,Curriculum Developer and Instructional Designer (M.Ed.),"3,164",352,https://www.udemy.com/user/yoavdanenberg/,['http://www.thehebrewguy.com']
Praveen Kumar S,Hydrogenist | Nanotechnologist,"1,213",347,https://www.udemy.com/user/praveen-kumar-s-157/,['https://linkedin.com/in/praveen-kumar-792a7b161/']
Nick Blake,Entrepreneur and Business communication trainer,"3,072",807,https://www.udemy.com/user/nick-blake-11/,"['https://www.e4b.org.uk/', 'https://twitter.com/e4benglish', 'https://www.facebook.com//E4B-105136024991799/?ref=page_internal', 'https://www.youtube.com/E4B Free English Course']"
Matt .,Geologist and Remote Sensing Scientist,"5,868","1,164",https://www.udemy.com/user/matt-larson-10/,[]
Froehlich Research GmbH,Social Network Analyst,"1,163",270,https://www.udemy.com/user/dominik-e-froehlich/,"['http://dominikfroehlich.com/', 'https://twitter.com/domfroehlich', 'https://www.facebook.com/domfro', 'https://linkedin.com/in/domfro/', 'https://www.youtube.com//channel/UCKg_rSScmeMkU0Jw6aDGdSw']"
Shervin House,Best-Selling Instructor & YouTuber,"59,280","1,734",https://www.udemy.com/user/shervin-house/,"['https://www.facebook.com/groups/215761967221212/?ref=share', 'https://www.youtube.com/c/ShervinHouse']"
Sandor Kiss,"Teaching 800,000+ Students, Performance Marketer","849,728","30,030",https://www.udemy.com/user/sandorkiss2/,[]
David Boughton,Language Trainer,"25,311","2,950",https://www.udemy.com/user/david-boughton/,['https://linkedin.com/https://www.linkedin.com/in/boughtondavid/']
Learn-Ed Online,Instructor,"3,851",728,https://www.udemy.com/user/learn-ed-2/,[]
Kevin O'Doherty - Psychological Profiling & Autopsies,"Psychologist, CBT Therapist, Expert Witness, Author, Trainer","11,415","2,465",https://www.udemy.com/user/kevinmichaelodoherty/,"['http://www.cgforensicmentalhealth.com', 'https://www.facebook.com//calibre.gold', 'https://linkedin.com/in/kevin-m-o-doherty-forensic-mental-health-expert-witness-06566220/', 'https://www.youtube.com/channel/UCFnbtSAbbUN-rdG5e6OqPHg']"
Leon Petrou,Systems Engineer at FutureRPA,"73,121","15,192",https://www.udemy.com/user/c696b2e4-5bd8-46b9-9a41-bb6dc0774957/,"['https://www.completerpabootcamp.com/rpatraining', 'https://www.facebook.com/leonpetrouofficial', 'https://linkedin.com/in/leonpetrou', 'https://www.youtube.com/LeonPetrou']"
Ilnara Gilyazova,English,"1,253",276,https://www.udemy.com/user/federal-state-budgetary-educational-institution-of-higher-educat/,"['http://material.kai.ru', 'https://twitter.com/mswis_kai', 'https://www.facebook.com/MSWIS16/']"
Anna Budzińska,dr Psychologii,"4,303",978,https://www.udemy.com/user/iwrd/,"['https://www.iwrd.pl', 'https://www.facebook.com/iwrdpl', 'https://www.youtube.com/@FundacjaIWRD']"
Ali Haider,Business And Marketing Expert,"13,765","1,546",https://www.udemy.com/user/ali-haider-17/,"['https://twitter.com/AliHaid68188961', 'https://www.facebook.com/alihaiderudemy', 'https://linkedin.com/in/ali-haider-526b13169', 'https://www.youtube.com/channel/UCIki_Qi4dMFv_ffYhHT9B4Q']"
Devaki subbalakshmi,Math Instructor,"99,946","1,491",https://www.udemy.com/user/devaki-subbalakshmi/,['http://www.testprep24.com/']
OZIS Academy,LEARNING TO LEAD,"35,783",881,https://www.udemy.com/user/sadaqain-salahuddin/,['https://ozisacademy.com/']
J.F. Parcher,Educator and Historian,"3,874",898,https://www.udemy.com/user/jamesfester/,[]
Boon Hong Donovan So,Computer Engineering Major,"2,366",330,https://www.udemy.com/user/donovan-so/,[]
Arnab Ghosh,Educator | Memory and Math Instructor | Technical Architect,"4,149",264,https://www.udemy.com/user/arnab-ghosh-8/,[]
Kevin Gründel,Native German Language Teacher,"28,489",776,https://www.udemy.com/user/kevin-grundel/,"['https://www.vokieciukalbosvilniuje.com/?page_id=26&fbclid=IwAR0e3RuB_TFegZXq94iE-h9b2IHO-ZVzgC6jO8V2kYxazEp1lu86ytv7g2Y', 'https://www.facebook.com/kevin.gruendel.7', 'https://linkedin.com//in/kevin-gruendel/']"
K.M. Weiland,Historical & Speculative Novelist | Writing Instructor,"2,953",263,https://www.udemy.com/user/katie-weiland/,"['https://www.helpingwritersbecomeauthors.com/', 'https://twitter.com/KMWeiland', 'https://www.facebook.com/kmweiland.author/', 'https://linkedin.com/kmweiland/', 'https://www.youtube.com/KMWeiland']"
Mukesh Muraleedharan,Engineer,"1,837",451,https://www.udemy.com/user/mukesh-muraleedharan-nair/,[]
Vignesh Sekar,"Software Engineer,Computer Science Instructor","50,931","18,535",https://www.udemy.com/user/vignesh-sekar-3/,['https://linkedin.com/in/vigneshtrainer/']
Nate Morris,LSAT Instructor,"4,324",344,https://www.udemy.com/user/nathan-cepelinski/,"['https://masterlsat.com/', 'https://www.youtube.com/c/MasterLSAT']"
Clayton Zaluski,"Online Instructor, Entrepreneur, Actuary","1,227",306,https://www.udemy.com/user/clayton-zaluski/,"['https://xpactuarial.com/', 'https://linkedin.com/in/claytonornezaluski/']"
Edufulness Srinivas Andoor,Professional GATE ECE Faculty,"8,866","1,110",https://www.udemy.com/user/srinivas-andoor/,"['https://www.primaryvisit.com/electronics-communication', 'https://www.facebook.com/amdoor_srinivas@yahoo.com']"
Betelvine Learning,eLearning for change,"5,908",468,https://www.udemy.com/user/betelvine-learning/,[]
Michael Hetherington,Anxiety & Stress Release Expert,"51,998","3,353",https://www.udemy.com/user/michaelhetherington/,"['http://www.michaelhetherington.com', 'https://www.facebook.com/fuzzarelly', 'https://www.youtube.com//@MichaelHetherington']"
Green Courses,For Environmental Engineering and Science,"37,242",889,https://www.udemy.com/user/abdeljalil-chougradi/,"['https://linktr.ee/green_courses', 'https://linkedin.com/https://www.linkedin.com/in/green-courses-580ab5270/', 'https://www.youtube.com/https://www.youtube.com/channel/UC3LqyheWMR6_drTrg0At4oA']"
Asem Zino,Water Treatments & Desalination Expert,"1,862",576,https://www.udemy.com/user/asem-zino/,"['https://twitter.com/AsemZino', 'https://linkedin.com/https://www.linkedin.com/in/asem-zino-phd-5101407/', 'https://www.youtube.com/channel/UCBSWCbw-L_Ev5NtGYyYUSdw']"
Richard Heiney,"Hypnotist, Educator","10,015",402,https://www.udemy.com/user/richard-heiney/,"['http://www.finishsmoking.com/', 'https://twitter.com/richard_heiney', 'https://www.youtube.com/channel/UC2IqCN6a7kLVGqIs9Q2aXow']"
Bolder Business,"Consultant to Nonprofit, Public, & Private sectors","1,215",230,https://www.udemy.com/user/bolder-business/,"['https://twitter.com/twitter.com/bolder_business', 'https://www.facebook.com/facebook.com/bolderbusiness']"
Creative Engineering Center,Educational center,"5,718","1,614",https://www.udemy.com/user/abdel-halim-assaad/,['https://www.facebook.com/https://www.facebook.com/Creative-Engineering-Center-1406370192812488/?ref=bookmarks']
Bahcesehir University,Office of Distance Education,"17,555",892,https://www.udemy.com/user/bahcesehir-university2/,"['https://bau.edu.tr', 'https://twitter.com/Bahcesehir', 'https://www.facebook.com/bahcesehiruniversity', 'https://linkedin.com/school/bahcesehir-university/', 'https://www.youtube.com/user/bahcesehiruniversity']"
Chris Hintsala,Full time ESL Teacher,"34,561",309,https://www.udemy.com/user/chrishintsala/,"['http://www.listenandlearnenglish.com', 'https://www.facebook.com/Listenandlearnenglish']"
Seyedali Mirjalili,PhD in Artificial Intelligence,"18,264","4,582",https://www.udemy.com/user/seyedali-mirjalili/,"['https://seyedalimirjalili.com/', 'https://twitter.com/S_Mirjalili', 'https://www.facebook.com/ali.mirjalili.12', 'https://linkedin.com/in/alimirjalili', 'https://www.youtube.com/channel/UCGqlMrnhuH3DD80cWG8xw8A']"
SkillShark EduTech,Admin at SkillShark EduTech,"2,198",291,https://www.udemy.com/user/skillshark-edutech/,"['https://twitter.com/SkillsharkE', 'https://www.facebook.com/SkillSharkEduTech', 'https://linkedin.com/company/skillshark-edutech', 'https://www.youtube.com/SkillSharkEdutech']"
"Roji Abraham, PMP","Project Management Professional, Writer, Educator","2,830",229,https://www.udemy.com/user/varghese-16/,"['https://rojiabraham.com', 'https://www.facebook.com/authorrojiabraham', 'https://linkedin.com/abraham.roji']"
Dr. Shaveta Thakral,Assistant Professor (Electronics & Telecom Engineering),"1,240",309,https://www.udemy.com/user/shaveta-thakral/,[]
"Balasaraswathy Nair, M.A, B.Ed, M.Ed, M.Phil (Specific Learning Disability)",Teaching Differently Expert & Alternate Education Influencer,"2,863",255,https://www.udemy.com/user/balasaraswathy-2/,"['https://ldremedialworld.com/', 'https://twitter.com/https://twitter.com/LD_Coach_Bala', 'https://www.facebook.com/https://www.facebook.com/LD-Coach-Balasaraswathy/', 'https://linkedin.com/https://www.linkedin.com/in/learning-differently-coach-balasaraswathy-a575911b3/', 'https://www.youtube.com/https://www.youtube.com/channel/UCat9wV-FOKkQVZHG15SIRdA']"
Mike Hughes,Performance Improvement Consultant,"2,802",475,https://www.udemy.com/user/th11/,"['https://twitter.com/Twitter Profile', 'https://www.facebook.com/Facebook Profile', 'https://www.youtube.com/Youtube Profile']"
"Lorraine Lohner, MBA, BS Pharm",pharmacist-in-heels,"4,441",817,https://www.udemy.com/user/lorraine-lohner/,"['https://www.facebook.com/proflohner', 'https://www.youtube.com/channel/UCrkZJunJUPR_5I8Hr5fS6nw']"
Shaveen Bandaranayake,LL.B graduate from the University of London,"28,108","3,325",https://www.udemy.com/user/shaveenbandaranayakekariyawasam/,"['https://www.thelawsimplified.com', 'https://twitter.com/ShaveenB', 'https://www.facebook.com/TheLawSimplified', 'https://linkedin.com/in/bandaranayake', 'https://www.youtube.com/TheLawSimplified']"
Dr. Shailendra Kumar Mittal,Professor,"1,444",387,https://www.udemy.com/user/shailendra-mittal-4/,['https://www.youtube.com/channel/UCIgKJltXbTNaLwYQNBg-SWQ/featured?view_as=subscriber']
Esther Hartwig - Deutsch mit Esther,German Language Instructor & Educational Scientist (B.A.),"21,532","3,984",https://www.udemy.com/user/esther-hartwig/,"['https://italki.com/teacher/4464727', 'https://www.youtube.com/channel/UCwsuUutbv5-gCtChrJq-QKA']"
David Sani,PhD in ESL/EFL,"2,320",225,https://www.udemy.com/user/david-sani-2/,['https://twitter.com/cocielts']
Aung Myo,Professional Instructor | Burmese & Tamil Language,"1,846",288,https://www.udemy.com/user/aung-myo-oo-5/,"['https://www.italki.com/teacher/6491567/tamil', 'https://www.youtube.com/@burmesepod101']"
Mohammed Zaid,STEM Educator - Content Creator,"98,531",879,https://www.udemy.com/user/mohammed-zeid-2/,"['https://www.mrzaid.com', 'https://twitter.com/Mohammed_zaid20', 'https://www.facebook.com/Mohammed.Zaid20', 'https://linkedin.com/mohammedzaid20', 'https://www.youtube.com/channel/mohammedzaid20']"
Mina Ashraf,Certified and Experienced Arabic Teacher,"12,161",259,https://www.udemy.com/user/mina-ashraf-17/,"['https://www.facebook.com/Learn-Arabic-With-Mina-108415808243093', 'https://www.facebook.com/Learn Arabic With Mina']"
STEPS English Programs,Communications & Education Services,"2,126",222,https://www.udemy.com/user/stepsenglishprograms/,"['https://twitter.com/StepsReading', 'https://www.facebook.com/pages/STEPS-English-Programs/1474547726108805']"
Dmitri Nesteruk,Software/Hardware Engineering • Quant Finance • Algotrading,"279,635","51,100",https://www.udemy.com/user/dmitrinesteruk/,"['https://twitter.com/dnesteruk', 'https://www.youtube.com/DmitriNesteruk']"
Nisto Consulting Inc. (Holly Fortier),Indigenous Awareness Training,467,221,https://www.udemy.com/user/holly-fortier/,['http://www.nistoconsulting.com/']
Golgi Alvarez,Land Administration and AEC Specialist,"61,014","1,344",https://www.udemy.com/user/golgi-alvarez/,"['https://zatoca.com/z-content/', 'https://twitter.com/geofumadas', 'https://www.facebook.com/geofumadas', 'https://linkedin.com/in/galvarezhn/', 'https://www.youtube.com/channel/UCVag74Sx-AKZYT8cKyZUKoA/videos?view_as=subscriber']"
Cong Tien Nguyen,PhD in Naval Architecture and Marine Engineering,"4,163",338,https://www.udemy.com/user/cong-tien-nguyen/,"['https://www.strath.ac.uk/staff/nguyentien_congmr/', 'https://linkedin.com/https://www.linkedin.com/in/cong-nguyen-13b76b150/', 'https://www.youtube.com/https://www.youtube.com/channel/UCLeMP_sKP_Xh1fd15qk1cFw']"
Rahsoft Biomedical Engineering Courses,Rahsoft Online On-demand Biomedical Engineering Courses,"14,145",448,https://www.udemy.com/user/rahsoft-chemical-science/,[]
Dmitri Dalla-Riva,VCE English Language Tutor,"6,450",239,https://www.udemy.com/user/dmitridallariva/,"['http://www.learnmate.com.au/', 'https://www.facebook.com/learnmatetutors', 'https://linkedin.com/in/dmitridallariva']"
Marius Tanasescu,Owner of audiojudgement.com,"6,156","3,162",https://www.udemy.com/user/marius-tanasescu-2/,"['https://audiojudgement.com', 'https://www.facebook.com/marius.v.tanasescu', 'https://www.youtube.com/@AudioJudgement']"
Toby Soenen,"E-learning developer, linguist and content creator","2,955",590,https://www.udemy.com/user/toby-soenen/,"['https://www.glossarists.com', 'https://linkedin.com/in/tobysoenen/', 'https://www.youtube.com/channel/UC30oqU8ecO0-w6QiyxmBijA']"
Ermin Dedic,All Things Data.,"67,910","12,663",https://www.udemy.com/user/ermin-dedic/,"['https://mydatacareer.com', 'https://twitter.com/mydatacareer', 'https://www.facebook.com/ermin.dedic.5', 'https://linkedin.com/in/ermin-dedic-3153a0137/', 'https://www.youtube.com/user/BIH20']"
Vaheh Golestanian,Manufacturing Engineer,"1,317",291,https://www.udemy.com/user/vaheh-golestanian/,[]
Daniel (Dan) Schreiber,Meteorologist,"1,402",372,https://www.udemy.com/user/daniel-schreiber-10/,"['https://www.stwxstrategic.com/', 'https://linkedin.com/in/schreibdl']"
Daniel Boehm,"Entrepreneur, Professional Blogger, World Traveler","71,446","3,253",https://www.udemy.com/user/danielchuckbhm/,"['http://freedomhunting.com', 'https://linkedin.com/in/daniel-boehm-0a8ba381']"
Jane Cui,"Teaching over 20,000+ students worldwide!","37,197","1,160",https://www.udemy.com/user/janecui2/,[]
"Kamil Zwolski, PhD",Associate Professor in International Politics,"9,608","1,441",https://www.udemy.com/user/kamil-zwolski/,['https://kzwolski.com']
Oluseyi Akinboade,Reservoir Engineer,647,198,https://www.udemy.com/user/oluseyi-akinboade/,['https://linkedin.com/https://www.linkedin.com/in/oluseyi-akinboade/']
Greg Reverdiau,"Flight Instructor, Commercial Pilot, Drone Pilot","13,807","3,838",https://www.udemy.com/user/greg-64/,"['http://www.pilotinstitute.com', 'https://twitter.com/gregrev', 'https://www.facebook.com/learn.pilotinstitute/', 'https://linkedin.com/in/greg-reverdiau-88706911', 'https://www.youtube.com/pilotinstitute']"
Catherine Gaither,Bioarchaeologist and Forensic Anthropologist,"1,197",197,https://www.udemy.com/user/catherine-gaither/,"['https://www.facebook.com/https://www.facebook.com/catherine.gaither.1/about?section=overview&pnref=about', 'https://linkedin.com/https://www.linkedin.com/in/catherine-gaither-06a445b1?trk=nav_responsive_tab_profile']"
Grad Coach,It's like having a professor in your pocket ;),"3,919",529,https://www.udemy.com/user/derek-2011/,"['https://gradcoach.com', 'https://twitter.com/gradcoachdotcom/', 'https://www.facebook.com/gradcoachofficial/', 'https://linkedin.com/company/grad-coach-intl/', 'https://www.youtube.com/@GradCoach']"
Mahendra Singh,Graduate Instrument Engineer,"2,014",376,https://www.udemy.com/user/59603966-996c-47e0-9c5c-e73df736f657/,[]
Transport Studies,Gives you edge over colleagues,"12,737",267,https://www.udemy.com/user/parth-loya/,['https://linkedin.com/company/transport-studies']
albert spinosa,Electronic(s) and Computer Instruction Made Easy,"9,166",645,https://www.udemy.com/user/albertspinosa/,"['http://www.alselectronicclassroom.com', 'https://www.facebook.com/https://www.facebook.com/Als-Electronic-Classroom-1876651852577468/?ref=aymt_homepage_panel']"
Hayley - Creative Mind Ch,Instructor,"43,134",563,https://www.udemy.com/user/hayley-chiba-4/,[]
"Bo Bennett, PhD","Social Scientist, Business Consultant","1,448",194,https://www.udemy.com/user/bobennett/,"['http://www.bobennett.com', 'https://twitter.com//bobennett', 'https://www.facebook.com/thedrboshow/', 'https://linkedin.com/in/robertsbennett', 'https://www.youtube.com/channel/UC0ULQR_RORq9d_5JaNh5vgA']"
Allison McCrary,"Teacher, Coach, Instructor","1,378",195,https://www.udemy.com/user/allison-mccrary/,"['https://twitter.com/AlliMcCrary99', 'https://www.facebook.com/allison.b.mccrary', 'https://linkedin.com//in/allison-brann-mccrary-9a65a0b']"
Jodi Edmunds,Online Educator and Digital Marketer,"1,014",193,https://www.udemy.com/user/jodi-edmunds/,"['https://www.instagram.com/jodes_e/', 'https://www.facebook.com/https://www.facebook.com/jodilisaedmunds']"
Niranjan kondyala,Online Educator,"1,457",208,https://www.udemy.com/user/niranjan-kondyala/,[]
Jeff Kolby,Writer & publisher of the Nova Press line of test-prep books,"5,204",560,https://www.udemy.com/user/jeff-kolbly/,"['http://novapress.net/', 'https://www.facebook.com/novapresstestprep', 'https://linkedin.com/company-beta/10604513']"
Vanessa Ellen,"Vanessa Ellen, TESOL, IELTS instructor, IELTSPrepMe","6,629",193,https://www.udemy.com/user/saffiya-robbie/,"['https://www.facebook.com/IELTSPrepMe', 'https://www.youtube.com/IELTSPrepMe']"
Honey Sharma,Head of Department - BIM & Digital Engineering,"1,803",233,https://www.udemy.com/user/honey-sharma-83/,['https://linkedin.com/https://www.linkedin.com/in/honey-sharma-87764317/']
Leslie Quigless,Benevolent Czarina of Lifelong Learning,962,192,https://www.udemy.com/user/leslie-quigless/,"['http://www.NowIGetItTutoring.com', 'https://linkedin.com/Leslie Quigless', 'https://www.youtube.com/Now I Get It Tutoring Services']"
Michael Rank,"PhD, History","26,857",811,https://www.udemy.com/user/scottrank/,['http://michaelrank.net']
Henry Cassidy,Teacher of English as a Foreign Language,"27,610","1,001",https://www.udemy.com/user/henry-cassidy-2/,"['https://englishlessonviaskype.com', 'https://twitter.com/englishvskype', 'https://www.facebook.com/englishlessonviaskype', 'https://www.youtube.com/learnenglishwithharry']"
Amelia Kline,Technology Coach | Google For Education Certified Trainer,"2,496",620,https://www.udemy.com/user/ameliakline/,"['http://www.googleworkspaces.net', 'https://twitter.com/amelia_kline', 'https://linkedin.com/in/ameliakline', 'https://www.youtube.com/channel/UCyZeyllrcD-tVaWj-sibu6A']"
Ansh Arora,Teacher,"12,038",334,https://www.udemy.com/user/hajjdid/,"['https://linkedin.com/in/ansharora1', 'https://www.youtube.com/c/JumpinJellyBeansA']"
Jung-Chang Liou,Design Engineer,"27,399","1,184",https://www.udemy.com/user/jung-chang-liou-2/,[]
Itzchak Pinhasov,Hebrew Instructor,"40,008","3,633",https://www.udemy.com/user/itzikpinhasov/,"['https://www.hebrew-for-beginners.com', 'https://twitter.com/HebrewBeginners', 'https://www.facebook.com/HebrewForBeginners', 'https://www.youtube.com/channel/UCGrVXYn0GsLQX0-31WXk78w']"
Charlene Gill,Instructor,"7,052",305,https://www.udemy.com/user/charlene-gill/,[]
Learn French Online,French Language & Learning Coaching,898,305,https://www.udemy.com/user/5f10dd04-4454-4c0e-9365-9969e8f44463/,['https://www.instagram.com/p/B9C0M_UglWf/?igshid=1dl615x76a1ex']
Bright Future institute,MEP designer and trainer,"5,888",756,https://www.udemy.com/user/abdul-ghaffar-21/,"['http://www.mhppak.com/', 'https://www.facebook.com/https://www.facebook.com/abdulghaffar.khan.3304673', 'https://linkedin.com/https://www.linkedin.com/in/abdulghaffar-khan-aab368150/']"
Patricia Adelfa Cantú,Psychologist,674,189,https://www.udemy.com/user/patricia-adelfa-cantu/,['https://www.facebook.com/@psic.patycantu']
Mayank Dadge,B.Tech Mechanical Engineering,"2,455",470,https://www.udemy.com/user/dadge-mayank-shekhar/,[]
Glory Boyadzhieva,Psychologist,"16,135","1,246",https://www.udemy.com/user/glory-dimitrova/,"['https://psychologyonlinecourses.com/', 'https://twitter.com/PSYCH_Courses', 'https://www.facebook.com/psychologyonlinecourses', 'https://linkedin.com/in/psychologyonlinecourses', 'https://www.youtube.com/channel/UC5A0_en6VaqjqCdaXJiJDsA?view_as=subscriber']"
Dr. Sunita Seemanapalli,Biomedical Researcher and Instructor,691,182,https://www.udemy.com/user/sunitaseemanapalli/,[]
Shahed Sariera,Easy Experiment Academy,676,170,https://www.udemy.com/user/8af941ee-ea1e-4ba7-bc4e-5ec8f8ed10f4/,[]
Edoreal Learning Solutions,The learning community with simple animated video courses.,"8,616",529,https://www.udemy.com/user/edoreal-learning-solutions/,"['https://www.edoreal.com', 'https://twitter.com/Edoreal1', 'https://www.facebook.com/edoreal123/', 'https://linkedin.com/company/edoreal-learning-solutions-pvt-ltd', 'https://www.youtube.com/channel/UCgTgdS13wPcAcUD1iwndAvw']"
Dr. Vaibhav Hendre,Professor in Electronics and Telecommunication Engineering,660,171,https://www.udemy.com/user/vaibhav-hendre/,"['https://www.facebook.com/https://www.facebook.com/vaibhav.hendre', 'https://linkedin.com/https://www.linkedin.com/in/dr-vaibhav-hendre-5a806044/']"
Jellis Vaes,Mental Health Coach. Adventurer. Entrepreneur.,"32,946","2,114",https://www.udemy.com/user/jellis-vaes/,"['https://linktr.ee/JellisVaes', 'https://www.facebook.com/jellis.vaes', 'https://linkedin.com/in/jellis-vaes/', 'https://www.youtube.com/c/JellisVaes']"
Dr Anshu Radha Aggarwal,Principal/Professor and Teacher Educator,"21,295",170,https://www.udemy.com/user/dr-anshu-radha-aggarwal/,"['https://www.facebook.com/Anshu Aggarwal', 'https://www.youtube.com/prof Anshu Aggarwal']"
Splice Data,Data Analyst,"2,190",199,https://www.udemy.com/user/dyv-2/,[]
Mark Zegarelli,Writer and Educator,"2,511",170,https://www.udemy.com/user/mark-zegarelli/,['https://www.markzegarelli.com/']
Harish Kumar Maheshwari,Academic Consultant / Electronics Engineer,"285,651","5,620",https://www.udemy.com/user/harish-kumar-maheshwari-3/,"['https://www.facebook.com/harish220907', 'https://linkedin.com/in/harish-kumar-maheshwari-5b960a34', 'https://www.youtube.com/harish220907']"
Steven Reeder,Literature Professor,"1,035",170,https://www.udemy.com/user/stevenreeder/,"['https://www.udemy.com/course/an-introduction-to-british-and-american-literature/?referralCode=980255B6690A1CCD96DA', 'https://www.facebook.com/urizenwept', 'https://linkedin.com/in/steven-reeder-ksu']"
Thomas Dacourt,Financial Engineer,"1,116",171,https://www.udemy.com/user/thomas-dacourt/,[]
Scholarsight Learning,Courses in High Impact Research & Technology,"43,684","8,524",https://www.udemy.com/user/scholarsight/,"['https://scholarsight.com/', 'https://twitter.com/scholarsight', 'https://www.facebook.com/groups/877434729352079/', 'https://linkedin.com/company/scholarsight/', 'https://www.youtube.com/c/scholarsight/']"
John Fry,Freelance Japanese to English Technical Translator,"4,590",290,https://www.udemy.com/user/john-fry-19/,['https://linkedin.com/in/john-fry-translation/']
Suleiman Abuhamideh,Managing Director of Ultra URS,"5,538",312,https://www.udemy.com/user/suleiman-subhi-suleiman-abuhamideh/,"['http://www.ultraurs.com', 'https://twitter.com/UrsUltra', 'https://www.facebook.com/ultraurs', 'https://linkedin.com/suleiman-abuhamideh-011616197', 'https://www.youtube.com/channel/UCmRtZa3ahPiEgk9Ot6SPvqg']"
Ashkan Horri,Professor,"1,085",304,https://www.udemy.com/user/ashkan-horri/,['https://linkedin.com/in/ashkan-horri-9663a732/']
Sindhuja Krishnaa,Water and waste water treatment -Instructor,761,248,https://www.udemy.com/user/sindhuja-108/,[]
Ifactner Learning,"Ph.D., MBA, BSc., D.Cs","4,072",302,https://www.udemy.com/user/ma-ahmed-2/,[]
"Ahmad Zaytoun, Official CELTA Tutor & Teacher Trainer","CELTA Tutor, Teacher Trainer (CELTA, Delta & M.A. in ELT)",760,185,https://www.udemy.com/user/ahmadzaytoun/,"['https://www.theeltschool.com', 'https://twitter.com/theeltschool', 'https://www.facebook.com/theeltschool', 'https://linkedin.com/in/ahmad-zaytoun-4bb7a7a6/', 'https://www.youtube.com/@theeltschool']"
Joe Parys,"Top-Rated Instructor, 800,000+ Students","938,892","74,582",https://www.udemy.com/user/josephparys/,"['http://www.joeparys.com', 'https://twitter.com/JoeParys', 'https://www.facebook.com/JoeParysAcademy/', 'https://linkedin.com/linkedin.com/in/joe-parys-7816799a', 'https://www.youtube.com/UCRukJuuBAdoHMTBIsFJAgvw']"
Aidina Cherikova,TESOL certified English teacher,698,168,https://www.udemy.com/user/aidina-cherikova/,[]
Jump into learning for less,,0,0,https://www.udemy.com,
Vishal Choudhary,Author & Corporate trainer,"6,876",290,https://www.udemy.com/user/vishal-choudhary-4/,"['https://twitter.com/vishalchou1', 'https://www.facebook.com/https://www.facebook.com/vishal.choudhary.336333', 'https://linkedin.com/https://www.linkedin.com/in/vishal-choudhary-80681461/', 'https://www.youtube.com/vaedus']"
Mohamed Imzel,Embedded Systems Engineer,"21,140",213,https://www.udemy.com/user/imzel-mohamed/,['https://linkedin.com/in/mohamedimzel/']
"Dr. Mohammad Habibi | 28,000+ Enrollments Worldwide","Marketing Professor, California State University","26,824","8,897",https://www.udemy.com/user/mohammad-reza-habibi/,"['https://twitter.com/M_R_Habibi', 'https://linkedin.com/in/mrhabibi/']"
Challenge Language Center,English Language Teachers at Challenge,"17,820",275,https://www.udemy.com/user/konstantin-kocev/,"['https://www.facebook.com/challenge.edu.mk', 'https://www.youtube.com/channel/UCibGSx21pwIErYR65NzZECA']"
SIA Global Security,Team of Global Security Experts,"8,242","3,262",https://www.udemy.com/user/sia-global-security/,"['https://siaglobalsecurity.org/', 'https://linkedin.com/company/siaglobalsecurity/']"
